time alive avgAge maxAge
6950 31 495.16129032258067 1970
7120 31 462.93548387096774 2140
6960 31 505.16129032258067 1980
7000 32 492.375 2020
6940 31 485.16129032258067 1960
7010 32 502.375 2030
7050 28 496.07142857142856 2070
7170 31 437.35483870967744 2190
7060 30 472.76666666666665 2080
6780 31 560.258064516129 2360
6990 33 480.09090909090907 2010
7220 29 488.62068965517244 2240
7100 32 434.03125 2120
6830 34 549.6176470588235 2410
7110 33 430.8787878787879 2130
7040 29 491 2060
7270 29 499.55172413793105 2290
6880 31 516.741935483871 2460
7090 32 426.5625 2110
7320 28 502.57142857142856 2340
7160 30 441.9 2180
7150 30 431.9 2170
6930 31 475.16129032258067 1950
7140 30 424.3333333333333 2160
7210 29 478.62068965517244 2230
7200 30 472.8666666666667 2220
6980 32 485.4375 2000
7250 29 518.6206896551724 2270
7370 29 532.1379310344828 2390
7190 30 462.8666666666667 2210
7260 29 511.2758620689655 2280
7030 30 493.3333333333333 2050
7420 30 551.8 2440
7240 29 508.62068965517244 2260
7300 28 482.57142857142856 2320
7470 29 585 2490
7080 31 430.1290322580645 2100
7310 28 492.57142857142856 2330
7290 29 513.5172413793103 2310
7130 28 459.2857142857143 2150
7350 31 482.93548387096774 2370
7340 31 472.93548387096774 2360
7520 26 627.2692307692307 2540
7360 29 522.1379310344828 2380
7180 31 447.35483870967744 2200
7400 30 543.7666666666667 2420
7410 31 536.1290322580645 2430
7570 32 459.9375 2590
7450 29 588.1034482758621 2470
7460 29 575 2480
7390 30 533.7666666666667 2410
7620 32 482.96875 2640
7230 29 498.62068965517244 2250
7440 29 578.1034482758621 2460
7670 36 474.9166666666667 2690
7490 28 593.3571428571429 2510
7280 29 503.51724137931035 2300
7510 28 613.3571428571429 2530
7500 28 603.3571428571429 2520
7540 29 554.7586206896551 2560
7550 30 470.76666666666665 2570
7560 32 449.9375 2580
7720 35 501.42857142857144 2740
7330 29 495.1034482758621 2350
7610 32 472.96875 2630
7600 33 451.06060606060606 2620
7380 29 542.1379310344828 2400
7660 33 507.6060606060606 2680
7590 33 465.6363636363636 2610
7650 33 497.6060606060606 2670
7770 32 538.90625 2790
7710 35 494.77142857142854 2730
7430 30 554.4333333333333 2450
7640 32 502.96875 2660
7820 31 515 2840
7700 35 484.77142857142854 2720
7480 28 585.5 2500
7690 36 465.5 2710
7760 33 527.030303030303 2780
7870 28 574.6071428571429 2890
7750 34 512.0294117647059 2770
7530 27 585.2222222222222 2550
7740 35 496.8285714285714 2760
7920 24 573.8333333333334 2940
7800 32 528.53125 2820
7810 32 491.125 2830
7790 30 553.4333333333333 2810
7580 32 469.9375 2600
7970 27 543.4444444444445 2990
7850 28 554.6071428571429 2870
7840 29 532.5862068965517 2860
7860 28 564.6071428571429 2880
7900 24 555.25 2920
7630 32 492.96875 2650
8020 25 384.12 1150
7950 27 523.4444444444445 2970
7890 27 556.8518518518518 2910
7910 24 565.25 2930
7680 36 481.75 2700
8070 26 384.1923076923077 1200
7730 35 486.8285714285714 2750
7960 27 533.4444444444445 2980
8120 25 374.36 1060
7940 25 554.76 2960
7780 30 543.4333333333333 2800
8000 24 379.875 1130
8010 24 389.875 1140
8170 26 393.11538461538464 1110
7830 31 525 2850
7990 27 515.3703703703703 3010
8050 26 364.1923076923077 1180
8220 30 383.9 1160
8040 26 389.2307692307692 1170
7880 26 571.6153846153846 2900
8100 25 381.92 1040
8060 26 374.1923076923077 1190
8090 25 371.92 1030
8270 30 383.26666666666665 1210
8110 25 364.36 1050
7930 24 583.8333333333334 2950
8150 26 382.15384615384613 1090
8140 26 372.15384615384613 1080
8160 25 398.76 1100
8320 27 406.0740740740741 1260
8200 26 420.7307692307692 1140
7980 29 515.6896551724138 3000
8190 26 413.11538461538464 1130
8210 29 387.0344827586207 1150
8250 33 369.72727272727275 1190
8370 23 493.4347826086956 1310
8030 26 379.2307692307692 1160
8240 33 359.72727272727275 1180
8260 31 364.19354838709677 1200
8300 28 397.9642857142857 1240
8080 26 394.1923076923077 1210
8310 27 396.0740740740741 1250
8420 21 425.57142857142856 1160
8290 29 395.51724137931035 1230
8130 24 392.5416666666667 1070
8350 25 451.16 1290
8470 22 455.77272727272725 1210
8180 26 403.11538461538464 1120
8340 25 441.16 1280
8400 22 486.6818181818182 1140
8360 24 469.8333333333333 1300
8520 23 482.4782608695652 1260
8410 21 480.9047619047619 1150
8450 22 435.77272727272725 1190
8570 27 456.74074074074076 1310
8390 22 476.6818181818182 1130
8230 32 360.65625 1170
8460 22 445.77272727272725 1200
8620 25 482.12 1360
8440 22 425.77272727272725 1180
8500 23 462.4782608695652 1240
8510 23 472.4782608695652 1250
8280 29 385.51724137931035 1220
8490 23 452.4782608695652 1230
8560 26 464.1923076923077 1300
8550 25 472.6 1290
8670 29 450.13793103448273 1410
8330 27 416.0740740740741 1270
8540 24 481.9583333333333 1280
8600 24 481.6666666666667 1340
8380 23 503.4347826086956 1320
8590 24 471.6666666666667 1330
8720 27 508.7037037037037 1460
8610 25 472.12 1350
8650 28 458.89285714285717 1390
8430 21 435.57142857142856 1170
8770 28 522.7142857142857 1510
8640 28 448.89285714285717 1380
8660 27 473.22222222222223 1400
8700 29 461.48275862068965 1440
8820 29 553.9655172413793 1560
8690 29 451.48275862068965 1430
8710 28 483.4642857142857 1450
8870 29 603.9655172413793 1610
8480 23 445.6521739130435 1220
8750 29 502 1490
8920 29 588 1660
8760 29 504.7931034482759 1500
8740 27 528.7037037037037 1480
8800 29 533.9655172413793 1540
8530 23 492.4782608695652 1270
8970 29 612.0689655172414 1710
8810 29 543.9655172413793 1550
8580 26 469.84615384615387 1320
8850 29 583.9655172413793 1590
8790 28 542.7142857142857 1530
8630 26 473.3076923076923 1370
8860 29 593.9655172413793 1600
9020 29 655.1379310344828 1760
8900 29 591.2068965517242 1640
8840 29 573.9655172413793 1580
8680 30 445 1420
9070 29 704 1810
8890 30 590 1630
8910 29 578 1650
8950 30 597.8333333333334 1690
8730 27 518.7037037037037 1470
8940 30 587.8333333333334 1680
9000 29 635.1379310344828 1740
9120 27 710.7037037037037 1860
8960 30 582.7666666666667 1700
8780 28 532.7142857142857 1520
9010 29 645.1379310344828 1750
9170 29 639.4827586206897 1910
8990 28 647.5357142857143 1730
9050 30 663.1333333333333 1790
8830 29 563.9655172413793 1570
9040 30 653.1333333333333 1780
9220 31 565.8709677419355 1960
9060 30 673.1333333333333 1800
8880 29 613.9655172413793 1620
9100 27 690.7037037037037 1840
9270 31 597.6129032258065 2010
9090 27 680.7037037037037 1830
9110 27 700.7037037037037 1850
9150 28 641.7857142857143 1890
8930 29 598 1670
9140 28 631.7857142857143 1880
9320 30 665.7 2060
9200 30 608.6 1940
9160 29 629.4827586206897 1900
8980 28 637.5357142857143 1720
9250 32 577.5625 1990
9190 29 619.4827586206897 1930
9370 28 614 1840
9030 30 643.1333333333333 1770
9210 30 574.5666666666667 1950
9240 32 567.5625 1980
9420 29 594.3103448275862 1890
9080 26 696.5384615384615 1820
9260 31 587.6129032258065 2000
9300 30 645.7 2040
